TimePeriod,Aged 15-24 Years,Aged 25-34 Years,Aged 35-44 Years,Aged 45-54 Years,Aged 55-64 Years,Aged 65 Years and Over,Asian,European,Female,Male,Maori,Pacific Peoples,Total,Total All Ages
31/03/86,8.8,3.6,2.3,2.6,1.3,3.6,0,0,5.3,3.8,0,0,4.4,4.4
30/06/86,8,3.8,2.4,2.5,1.3,1.6,0,0,4.9,3.6,0,0,4.1,4.1
30/09/86,7.6,4.6,2.5,1.6,1.6,0.2,0,0,4.7,3.6,0,0,4.1,4.1
31/12/86,7.9,4.2,2.3,1.9,2.1,0.6,0,0,4.7,3.7,0,0,4.1,4.1
31/03/87,8.3,4.1,2.3,2.1,1.9,1,0,0,4.9,3.8,0,0,4.3,4.3
30/06/87,8.5,4,2.4,1.8,1.7,2.2,0,0,4.5,4,0,0,4.2,4.2
30/09/87,7.4,4.1,2.5,2.3,2.2,2.2,0,0,4.1,4.1,0,0,4.1,4.1
31/12/87,8.7,4.2,2.1,2,1.8,0.4,0,0,4.3,4.3,0,0,4.3,4.3
31/03/88,10.4,4.9,3,2.5,2,1.5,0,0,5.3,5.1,0,0,5.2,5.2
30/06/88,10.9,5.3,3.2,2.9,2.4,1.7,0,0,5.5,5.4,0,0,5.5,5.5
30/09/88,11.2,6.3,4.6,3.4,3,2.4,0,0,6.2,6.4,0,0,6.3,6.3
31/12/88,11.8,5.6,4.2,3.1,3.7,1.5,0,0,5.7,6.5,0,0,6.2,6.2
31/03/89,14.3,6.8,4.8,3.8,4.1,2.8,0,0,7.3,7.4,0,0,7.4,7.4
30/06/89,13.8,7.5,4.5,4.6,4,3,0,0,7.1,7.7,0,0,7.4,7.4
30/09/89,14,6.7,4.4,5,3.7,3.5,0,0,6.8,7.6,0,0,7.2,7.2
31/12/89,13.4,7.6,3.6,4.2,4,4.4,0,0,7.2,7.1,0,0,7.1,7.1
31/03/90,13.6,7.4,5.1,4.4,4,1.9,0,0,7.4,7.6,0,0,7.5,7.5
30/06/90,13.8,7.3,5,5,4.7,3,0,0,6.8,8.3,0,0,7.6,7.6
30/09/90,14.4,8.3,5.2,4.8,4.6,1.5,0,0,7.4,8.4,0,0,8,8
31/12/90,15.9,8.9,5.9,5,5.6,2.1,0,0,8.2,9.2,0,0,8.8,8.8
31/03/91,18.4,10.6,7.1,5.9,5.2,3.3,0,0,10,10.4,0,0,10.2,10.2
30/06/91,18.6,11.2,6.9,6.1,5.5,2.6,0,0,9.7,10.8,0,0,10.3,10.3
30/09/91,20.5,11.5,7.1,6.8,5.8,1.2,0,0,9.8,11.9,0,0,11,11
31/12/91,19.9,11.1,7.1,7.4,5.2,2,0,0,9.5,12,0,0,10.9,10.9
31/03/92,21.2,11.4,8,6.9,6.2,1.4,0,0,10.8,11.9,0,0,11.4,11.4
30/06/92,18.3,10.9,7.5,6.1,6.6,1.5,0,0,9.3,11.1,0,0,10.3,10.3
30/09/92,18.5,10.7,7.4,6.9,6.8,0.8,0,0,9.1,11.4,0,0,10.4,10.4
31/12/92,18.6,11,7.4,6.3,7.3,1.3,0,0,9.8,11.1,0,0,10.5,10.5
31/03/93,19.6,10.4,7.3,6.7,6.1,3.9,0,0,9.7,11.2,0,0,10.5,10.5
30/06/93,18.6,10.3,7,6.7,5.5,0.9,0,0,9.3,10.6,0,0,10,10
30/09/93,15.9,9.7,7.2,6.6,5.6,1.8,0,0,8.4,10.1,0,0,9.3,9.3
31/12/93,17.3,8.8,7.1,6.4,5.6,0.5,0,0,8.5,10,0,0,9.4,9.4
31/03/94,18,9.3,7.4,6.3,5.8,1.4,0,0,9.4,9.9,0,0,9.7,9.7
30/06/94,16.4,8.4,6,5.2,4.8,2.5,0,0,7.8,9,0,0,8.4,8.4
30/09/94,13.5,7.6,6.3,5.8,4.5,1.7,0,0,7,8.4,0,0,7.8,7.8
31/12/94,14,7.4,5.8,4.7,4.3,1.8,0,0,7.1,7.9,0,0,7.5,7.5
31/03/95,13.1,6.8,5.8,4.8,3.6,1.3,0,0,7.1,7.1,0,0,7.1,7.1
30/06/95,11.5,5.5,5.7,4.4,3.4,0.9,0,0,6.5,6.2,0,0,6.3,6.3
30/09/95,11.7,5.6,5,3.8,3.1,3.1,0,0,5.9,6.3,0,0,6.1,6.1
31/12/95,12.8,5.3,5.3,3.8,3.3,1,0,0,6.5,6.2,0,0,6.3,6.3
31/03/96,13.1,6.3,5.3,4.1,3.4,1.1,0,0,6.7,6.6,0,0,6.7,6.7
30/06/96,11.5,5.9,5,4,3.7,1.6,0,0,6.3,5.9,0,0,6.1,6.1
30/09/96,12.1,6.3,4.5,4.2,4.1,0.8,0,0,6.3,6.3,0,0,6.3,6.3
31/12/96,12.2,5.8,4.4,4.3,3.6,0.7,0,0,5.7,6.4,0,0,6.1,6.1
31/03/97,13.2,7.3,5.5,4.2,4.4,1.2,0,0,7.4,6.7,0,0,7,7
30/06/97,13.3,6.9,5,4.1,4.5,0.8,0,0,6.7,6.8,0,0,6.7,6.7
30/09/97,13.8,6.4,5.7,4.2,3.6,0.5,0,0,6.8,6.9,0,0,6.8,6.8
31/12/97,14.1,6.3,5.3,4.1,4,1.1,0,0,6.5,7.1,0,0,6.8,6.8
31/03/98,15.8,7.8,5.6,5,4.2,1.1,0,0,8,7.6,0,0,7.8,7.8
30/06/98,14.7,8,6.6,5.2,4.4,0.8,0,0,7.9,7.8,0,0,7.8,7.8
30/09/98,14.3,7.8,5.8,5.1,5.1,1.5,0,0,7,8,0,0,7.5,7.5
31/12/98,15.3,7.6,6.3,5,5.1,0.7,0,0,7.5,7.9,0,0,7.8,7.8
